Date, Open, High, Low, Close, Volume
17-May-13,76.32,76.32,76.31,76.31,460
16-May-13,76.38,76.52,76.24,76.52,702
15-May-13,76.01,76.10,75.87,75.95,1500
14-May-13,76.21,76.23,76.15,76.23,400
10-May-13,76.42,76.50,76.35,76.41,832
9-May-13,76.70,76.73,76.70,76.73,500
8-May-13,76.76,76.76,76.76,76.76,130
7-May-13,76.59,76.59,76.59,76.59,100
6-May-13,76.70,76.70,76.53,76.53,360
3-May-13,76.84,76.84,76.70,76.70,200
2-May-13,76.78,76.78,76.78,76.78,200
1-May-13,76.43,76.43,76.43,76.43,200
23-Apr-13,76.15,76.15,76.15,76.15,157
18-Apr-13,76.00,76.00,76.00,76.00,100
17-Apr-13,76.26,76.26,76.02,76.07,400
16-Apr-13,75.94,76.19,75.94,76.19,200
10-Apr-13,76.05,76.08,76.05,76.08,364
4-Apr-13,75.60,75.60,75.60,75.60,367
1-Apr-13,75.55,75.55,75.55,75.55,100
27-Mar-13,75.34,75.47,75.28,75.47,390
26-Mar-13,75.18,75.20,75.18,75.20,300
21-Mar-13,75.56,75.63,75.56,75.63,330
19-Mar-13,75.34,75.83,75.34,75.83,1940
18-Mar-13,75.52,75.52,75.52,75.52,1300
15-Mar-13,75.55,75.56,75.55,75.56,200
14-Mar-13,75.47,75.58,75.45,75.56,5274
13-Mar-13,75.51,75.51,75.51,75.51,900
8-Mar-13,75.38,75.38,75.14,75.14,232
6-Mar-13,75.68,75.68,75.68,75.68,200
1-Mar-13,75.62,75.62,75.62,75.62,100
28-Feb-13,75.56,75.56,75.56,75.56,100
26-Feb-13,75.46,75.46,75.46,75.46,137
25-Feb-13,75.32,75.32,75.32,75.32,100
22-Feb-13,75.27,75.27,75.27,75.27,674
20-Feb-13,75.05,75.05,75.05,75.05,100
15-Feb-13,75.03,75.03,75.03,75.03,205
14-Feb-13,74.87,75.12,74.85,74.92,1193
13-Feb-13,74.63,74.86,74.63,74.86,380
12-Feb-13,74.76,74.76,74.75,74.75,456
11-Feb-13,74.85,74.85,74.85,74.85,600
8-Feb-13,74.83,74.83,74.83,74.83,100
7-Feb-13,74.91,74.91,74.65,74.80,6500
6-Feb-13,74.98,74.98,74.94,74.98,1205
5-Feb-13,74.93,74.93,74.87,74.87,1288
4-Feb-13,74.83,74.93,74.83,74.83,1792
1-Feb-13,73.00,74.98,73.00,74.89,5090
31-Jan-13,74.83,74.92,74.83,74.91,6701
